;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202301;Enero de 2023;1;Andalucía;4;Almería;04001;Abla;23;0;7;0;<5;13;<5;8;<5;0;14
202301;Enero de 2023;1;Andalucía;4;Almería;04002;Abrucena;38;14;12;0;<5;9;0;23;0;<5;11
202301;Enero de 2023;1;Andalucía;4;Almería;04003;Adra;413;139;72;13;97;91;<5;138;27;17;231
202301;Enero de 2023;1;Andalucía;4;Almería;04004;Albánchez;5;<5;<5;0;0;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04005;Alboloduy;25;7;5;0;5;8;0;5;<5;0;19
202301;Enero de 2023;1;Andalucía;4;Almería;04006;Albox;181;48;37;8;41;45;<5;19;12;33;117
202301;Enero de 2023;1;Andalucía;4;Almería;04007;Alcolea;26;<5;15;0;<5;7;<5;13;0;<5;11
202301;Enero de 2023;1;Andalucía;4;Almería;04008;Alcóntar;18;6;<5;0;<5;6;0;0;8;<5;9
202301;Enero de 2023;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;<5;0;<5;0;0;<5;0;0;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04010;Alhabia;6;5;0;0;<5;0;0;0;<5;<5;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04011;Alhama de Almería;69;31;13;<5;14;9;0;11;<5;23;33
202301;Enero de 2023;1;Andalucía;4;Almería;04012;Alicún;<5;0;<5;<5;0;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04013;Almería;4792;1373;1097;153;744;1327;98;863;130;336;3463
202301;Enero de 2023;1;Andalucía;4;Almería;04014;Almócita;10;0;5;0;0;5;0;0;0;0;10
202301;Enero de 2023;1;Andalucía;4;Almería;04015;Alsodux;<5;0;0;0;<5;0;0;0;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04016;Antas;365;199;95;14;26;25;6;107;7;26;225
202301;Enero de 2023;1;Andalucía;4;Almería;04017;Arboleas;88;47;17;0;16;8;0;44;0;6;38
202301;Enero de 2023;1;Andalucía;4;Almería;04018;Armuña de Almanzora;9;<5;<5;0;<5;<5;0;6;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04019;Bacares;11;0;<5;0;0;9;0;<5;0;0;8
202301;Enero de 2023;1;Andalucía;4;Almería;04020;Bayárcal;5;0;<5;0;<5;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04021;Bayarque;5;0;<5;<5;0;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04022;Bédar;8;<5;<5;0;<5;<5;0;<5;0;0;6
202301;Enero de 2023;1;Andalucía;4;Almería;04023;Beires;<5;0;<5;0;0;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04024;Benahadux;141;18;37;<5;6;79;0;<5;105;<5;30
202301;Enero de 2023;1;Andalucía;4;Almería;04026;Benitagla;<5;0;<5;0;0;<5;0;0;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04027;Benizalón;7;<5;<5;0;0;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04028;Bentarique;6;0;<5;0;0;<5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04029;Berja;179;51;38;8;55;21;6;70;5;6;98
202301;Enero de 2023;1;Andalucía;4;Almería;04030;Canjáyar;27;<5;8;0;<5;11;<5;10;<5;0;14
202301;Enero de 2023;1;Andalucía;4;Almería;04031;Cantoria;108;72;10;5;10;10;<5;7;20;32;49
202301;Enero de 2023;1;Andalucía;4;Almería;04032;Carboneras;154;45;87;<5;7;14;0;64;16;8;66
202301;Enero de 2023;1;Andalucía;4;Almería;04033;Castro de Filabres;8;0;<5;0;0;7;0;8;0;0;0
202301;Enero de 2023;1;Andalucía;4;Almería;04034;Cóbdar;5;0;<5;0;0;<5;0;<5;<5;0;0
202301;Enero de 2023;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;508;185;207;9;50;54;<5;313;<5;28;163
202301;Enero de 2023;1;Andalucía;4;Almería;04036;Chercos;7;<5;0;0;0;<5;0;<5;<5;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04037;Chirivel;31;6;<5;<5;<5;15;<5;10;0;0;21
202301;Enero de 2023;1;Andalucía;4;Almería;04038;Dalías;36;13;<5;<5;12;<5;<5;10;0;<5;22
202301;Enero de 2023;1;Andalucía;4;Almería;04041;Enix;<5;0;<5;<5;0;0;0;0;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04043;Felix;8;0;<5;0;0;5;0;<5;0;0;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04044;Fines;33;14;6;0;5;6;<5;5;<5;10;14
